Title,URL,Publication Year,Abstract
SECURITY DRONE WITH NON-LETHAL DETERRENT,https://lens.org/086-828-097-425-259,2020,"A drone for deterring intruders within a monitored area includes a multirotor aerial vehicle with an electric drive apparatus and a power supply configured to provide electrical energy. A controller is configured to control the multirotor aerial vehicle. A first sensor is in electrical communication with the controller, the sensor configured to provide navigation information to the controller. A wireless communication circuit is in electrical communication with the controller, and in wireless communication with an external wireless transceiver. A deterrence effector bay is in electrical communication with the controller. The deterrence effector bay includes a non-lethal deterrence effector and an actuator. Activation of the actuator causes the delivery of the non-lethal deterrence effector to a target. The drone may be used in conjunction with an alarm system as a deterrent against intrusion."
Remoteless control of drone behavior,https://lens.org/148-478-781-466-882,2022,"A drone system is configured to capture an audio stream that includes voice commands from an operator, to process the audio stream for identification of the voice commands, and to perform operations based on the identified voice commands. The drone system can identify a particular voice stream in the audio stream as an operator voice, and perform the command recognition with respect to the operator voice to the exclusion of other voice streams present in the audio stream. The drone can include a directional camera that is automatically and continuously focused on the operator to capture a video stream usable in disambiguation of different voice streams captured by the drone."
REMOTELESS CONTROL OF DRONE BEHAVIOR,https://lens.org/166-750-838-711-387,2023,"A drone system is configured to capture an audio stream that includes voice commands from an operator, to process the audio stream for identification of the voice commands, and to perform operations based on the identified voice commands. The drone system can identify a particular voice stream in the audio stream as an operator voice, and perform the command recognition with respect to the operator voice to the exclusion of other voice streams present in the audio stream. The drone can include a directional camera that is automatically and continuously focused on the operator to capture a video stream usable in disambiguation of different voice streams captured by the drone."
REMOTELESS CONTROL OF DRONE BEHAVIOR,https://lens.org/166-750-838-711-387,2023,"A drone system is configured to capture an audio stream that includes voice commands from an operator, to process the audio stream for identification of the voice commands, and to perform operations based on the identified voice commands. The drone system can identify a particular voice stream in the audio stream as an operator voice, and perform the command recognition with respect to the operator voice to the exclusion of other voice streams present in the audio stream. The drone can include a directional camera that is automatically and continuously focused on the operator to capture a video stream usable in disambiguation of different voice streams captured by the drone."
Remoteless control of drone behavior,https://lens.org/148-478-781-466-882,2022,"A drone system is configured to capture an audio stream that includes voice commands from an operator, to process the audio stream for identification of the voice commands, and to perform operations based on the identified voice commands. The drone system can identify a particular voice stream in the audio stream as an operator voice, and perform the command recognition with respect to the operator voice to the exclusion of other voice streams present in the audio stream. The drone can include a directional camera that is automatically and continuously focused on the operator to capture a video stream usable in disambiguation of different voice streams captured by the drone."
CONTROL OF AN AERIAL DRONE USING RECOGNIZED GESTURES,https://lens.org/062-529-651-002-659,2017,"A method, system, and/or computer program product controls movement and adjusts operations of an aerial drone. A drone camera observes an aerial maneuver physical gesture by a user. The aerial drone then performs an aerial maneuver that correlates to the aerial maneuver physical gesture. The drone camera observes the user performing a physical action. One or more processors associate the physical action with a particular type of activity. A drone on-board computer adjusts an operation of an aerial drone based on the particular type of activity."
Control of an aerial drone using recognized gestures,https://lens.org/136-114-218-406-626,2019,"A method, system, and/or computer program product controls movement and adjusts operations of an aerial drone. A drone camera observes an aerial maneuver physical gesture by a user. The aerial drone then performs an aerial maneuver that correlates to the aerial maneuver physical gesture. The drone camera observes the user performing a physical action. One or more processors associate the physical action with a particular type of activity. A drone on-board computer adjusts an operation of an aerial drone based on the particular type of activity."
"METHOD FOR NAVIGATING AN AERIAL DRONE IN THE PRESENCE OF AN INTRUDING AIRCRAFT, AND DRONE FOR IMPLEMENTING SAID METHOD",https://lens.org/091-249-805-810-065,2017,Aerial drone designed for implementation of this method.
LONG DISTANCE TRANS-CONTINENTAL REMOTE DRONE PILOTING SYSTEM,https://lens.org/051-074-426-307-811,2023,"A remote drone control system includes a pilot endpoint system comprising a pilot endpoint and a controller connected to the pilot endpoint. The remote drone control system includes a control endpoint system including a control endpoint, a signal adaptor connected to the control endpoint, and a transmitter connected to the signal adaptor. A drone is arranged to communicate with the transmitter to receive and send drone operating data to the control endpoint system. The drone is also arranged to communicate drone video data to the control endpoint system. A remote bridge including a server is arranged to connect the pilot endpoint and the control endpoint such that data is communicated amongst the pilot endpoint, control endpoint, and drone in real-time."
LONG DISTANCE TRANS-CONTINENTAL REMOTE DRONE PILOTING SYSTEM,https://lens.org/152-848-405-344-355,2021,"A remote drone control system includes a pilot endpoint system comprising a pilot endpoint and a controller connected to the pilot endpoint. The remote drone control system includes a control endpoint system including a control endpoint, a signal adaptor connected to the control endpoint, and a transmitter connected to the signal adaptor. A drone is arranged to communicate with the transmitter to receive and send drone operating data to the control endpoint system. The drone is also arranged to communicate drone video data to the control endpoint system. A remote bridge including a server is arranged to connect the pilot endpoint and the control endpoint such that data is communicated amongst the pilot endpoint, control endpoint, and drone in real-time."
UNMANNED AERIAL VEHICLES,https://lens.org/084-077-201-122-307,2022,"A drone comprising a camera and a controller. The camera is configured to output data representing an object within a field of view of the camera. The controller is configured to attempt to maintain a visual line of sight with the object. The controller is also configured to cause control equipment of an operator of the drone to notify the operator of the drone, visually, audibly and/or haptically, as to whether or not the object is being tracked by the drone."
UNMANNED AERIAL VEHICLES,https://lens.org/084-077-201-122-307,2022,"A drone comprising a camera and a controller. The camera is configured to output data representing an object within a field of view of the camera. The controller is configured to attempt to maintain a visual line of sight with the object. The controller is also configured to cause control equipment of an operator of the drone to notify the operator of the drone, visually, audibly and/or haptically, as to whether or not the object is being tracked by the drone."
"APPARATUS, METHOD AND SOFTWARE FOR ASSISTING HUMAN OPERATOR IN FLYING DRONE USING REMOTE CONTROLLER",https://lens.org/186-917-932-518-708,2022,"Apparatus, method, and software for assisting human operator in flying drone using remote controller. The apparatus includes an internal data communication interface configured to receive data from the remote controller, an augmented reality display configured to display the data, one or more memories including computer program code, and one or more processors to cause the apparatus to: superimpose, on the augmented reality display, a target symbol indicating a position of the drone while the human operator is looking towards the drone; and superimpose, on the augmented reality display, an orientation symbol indicating an orientation of the drone while the human operator is looking towards the drone."
"APPARATUS, METHOD AND SOFTWARE FOR ASSISTING HUMAN OPERATOR IN FLYING DRONE USING REMOTE CONTROLLER",https://lens.org/186-917-932-518-708,2022,"Apparatus, method, and software for assisting human operator in flying drone using remote controller. The apparatus includes an internal data communication interface configured to receive data from the remote controller, an augmented reality display configured to display the data, one or more memories including computer program code, and one or more processors to cause the apparatus to: superimpose, on the augmented reality display, a target symbol indicating a position of the drone while the human operator is looking towards the drone; and superimpose, on the augmented reality display, an orientation symbol indicating an orientation of the drone while the human operator is looking towards the drone."
"Apparatus, method and software for assisting human operator in flying drone using remote controller",https://lens.org/049-350-915-169-217,2023,"Apparatus, method, and software for assisting human operator in flying drone using remote controller. The apparatus includes an internal data communication interface configured to receive data from the remote controller, an augmented reality display configured to display the data, one or more memories including computer program code, and one or more processors to cause the apparatus to: superimpose, on the augmented reality display, a target symbol indicating a position of the drone while the human operator is looking towards the drone; and superimpose, on the augmented reality display, an orientation symbol indicating an orientation of the drone while the human operator is looking towards the drone."
Situational command and control of drones,https://lens.org/075-823-093-593-579,2019,"Disclosed herein is a drone. The drone may comprise a flight mechanism, a receiver, and a navigation transmitter. The flight mechanism may execute a flight maneuver provided by a user. The receiver may receive, from an authority, an interruption signal. The interruption signal may include a command to interrupt the flight maneuver provided by the user. The navigation transmitter may transmit, to the flight mechanism, the command to interrupt the flight maneuver to the flight mechanism."
SITUATIONAL COMMAND AND CONTROL OF DRONES,https://lens.org/115-189-598-949-247,2018,"Disclosed herein is a drone. The drone may comprise a flight mechanism, a receiver, and a navigation transmitter. The flight mechanism may execute a flight maneuver provided by a user. The receiver may receive, from an authority, an interruption signal. The interruption signal may include a command to interrupt the flight maneuver provided by the user. The navigation transmitter may transmit, to the flight mechanism, the command to interrupt the flight maneuver to the flight mechanism."
METHOD FOR CONTROLLING UNMANNED AERIAL VEHICLE USING SMART DEVICE,https://lens.org/110-761-089-176-779,2017,"A method for controlling unmanned aerial vehicle using a smart device. The unmanned aerial vehicle includes a smart device and an unmanned plane, the smart device operating to control the flight of the unmanned plane via wireless communication signal, the smart device comprising in-built central processing unit, touch screen, wireless communication system, battery, and volume key, and an application for controlling the unmanned plane being installed in the smart device. The unmanned plane includes a power system, a flight control system, and a sensor. The method includes: 1) allowing the wireless communication system of the smart device to communicate with the unmanned plane; 2) allowing the application installed in the smart device to manipulate the unmanned plane; 3) allowing the wireless communication system to control the transmission of the commands of the unmanned plane, and to send the flight parameters of the unmanned plane back to the smart device; and 4) defining the volume key of the smart device to synchronously adjust the flight height of the unmanned plane. The volume key of the smart device is defined to synchronously adjust the flight height of the unmanned plane, so that the height of the unmanned plane is controlled conveniently."
"DRONE SYSTEM, DRONE, MOVABLE BODY, DRONE SYSTEM CONTROL METHOD, AND DRONE SYSTEM CONTROL PROGRAM",https://lens.org/010-500-468-935-180,2022,"A drone system that includes a drone and a movable body which is movable with loading the drone and where the drone can take off and land, cooperate to operate and that is able to maintain a high level of safety even during autonomous flight, is provided. The drone has a flight controller controlling a flight of the drone, and a drone transmitter transmitting an information possible to distinguish whether the drone is in flight. The movable body has a take-off and landing area where the drone is loaded, takes off and lands, a movement controller loading the drone on the take-off and landing area and moving the movable body with the drone, a movable body receiver receiving an information from the drone, and a display unit."
HUMAN INDICATION OF TARGET DRONE FOR INTERCEPTION,https://lens.org/040-098-793-546-598,2018,A system for tracking a drone includes a device where a human designates a drone as a target drone and a second autonomous intercept drone having an on-board sensor to track the target drone and self pilots to the location of the target drone
DRONE CONTROLLING DEVICE AND A DRONE,https://lens.org/133-952-207-213-945,2022,"A drone controlling device is provided that is connectable to an electrical system (102) of a drone (104, 302, 402, 502). The drone controlling device comprises a transponder (110) arranged to monitor surrounding airspace and a positioning module (112) configured to identify a location of the drone. The drone controlling device further comprises a cellular communication module (114) being configured to control the drone by communicating with a remote device and to communicate a location to the remote device. One or more data exchange modules (116) in the drone controlling device are arranged to store at least a unique identification code of the drone and exchange the unique identification code with the remote device. The drone controlling device further comprises a power switching unit (118) arranged to control a power unit of the drone remotely to reduce the power consumption of the drone."
DRONE CONTROLLING DEVICE AND A DRONE,https://lens.org/133-952-207-213-945,2022,"A drone controlling device is provided that is connectable to an electrical system (102) of a drone (104, 302, 402, 502). The drone controlling device comprises a transponder (110) arranged to monitor surrounding airspace and a positioning module (112) configured to identify a location of the drone. The drone controlling device further comprises a cellular communication module (114) being configured to control the drone by communicating with a remote device and to communicate a location to the remote device. One or more data exchange modules (116) in the drone controlling device are arranged to store at least a unique identification code of the drone and exchange the unique identification code with the remote device. The drone controlling device further comprises a power switching unit (118) arranged to control a power unit of the drone remotely to reduce the power consumption of the drone."
Drone,https://lens.org/139-131-972-054-70X,2016,"A drone 3 is associated with a work machine 1 (e.g. a digger, backhoe, bulldozer, earth mover, fork-lift, agricultural tractor, forestry vehicle, truck or other heavy or construction vehicle). Control data (e.g. a navigation path or 3D coordinates) is determined for controlling the drone with respect to the work machine 1. The work machine may have a docking station 9 comprising a housing and cover; a latch for securing the drone; a quick-release spring-loaded thrust device for launching the drone; and data-link and charging ports. The drone may comprise sensors which capture image or audio data of an area near the work vehicle and present them via a user interface in the work machine. Thus the drone may transmit an image of an obscured area 21 near the bucket 7 of an excavator"
Drone,https://lens.org/139-131-972-054-70X,2016,"A drone 3 is associated with a work machine 1 (e.g. a digger, backhoe, bulldozer, earth mover, fork-lift, agricultural tractor, forestry vehicle, truck or other heavy or construction vehicle). Control data (e.g. a navigation path or 3D coordinates) is determined for controlling the drone with respect to the work machine 1. The work machine may have a docking station 9 comprising a housing and cover; a latch for securing the drone; a quick-release spring-loaded thrust device for launching the drone; and data-link and charging ports. The drone may comprise sensors which capture image or audio data of an area near the work vehicle and present them via a user interface in the work machine. Thus the drone may transmit an image of an obscured area 21 near the bucket 7 of an excavator"
DRONE AND METHOD FOR CONTROLLING THE SAME,https://lens.org/119-033-078-591-75X,2017,"A drone including a flying unit configured to generate a lift force for flying; a communication unit configured to receive sensing data obtained in a mobile terminal from the mobile terminal; a camera configured to capture a specific object; and a controller configured to recognize at least one of a movement change of the specific object and a status change of the specific object based on the received sensing data, change a capturing composition of the specific object based on the recognized at least one of the movement change and the status change, and capture the specific object via the camera based on the changed capturing composition."
Drone and method for controlling the same,https://lens.org/055-015-122-689-342,2019,"A drone including a flying unit configured to generate a lift force for flying; a communication unit configured to receive sensing data obtained in a mobile terminal from the mobile terminal; a camera configured to capture a specific object; and a controller configured to recognize at least one of a movement change of the specific object and a status change of the specific object based on the received sensing data, change a capturing composition of the specific object based on the recognized at least one of the movement change and the status change, and capture the specific object via the camera based on the changed capturing composition."
System and method to operate a drone,https://lens.org/034-412-306-973-492,2016,"A method for controlling a drone includes receiving a natural language request for information about a spatial location, parsing the natural language request into data requests, configuring a flight plan and controlling one or more drones to fly over the spatial location to obtain data types based on the data requests, and extracting and analyzing data to answer the request. The method can include extracting data points from the data types, obtaining labels from a user for one or more of the data points, predicting labels for unlabeled data points from a learning algorithm using the labels obtained from the user, determining the predicted labels are true labels for the unlabeled data points and combining the extracted data, the user labeled data points and the true labeled data points to answer the request for information. The learning algorithm may be active learning using a support vector machine."
System and method to operate a drone,https://lens.org/164-387-753-282-142,2018,"A method for controlling a drone includes receiving a natural language request for information about a spatial location, parsing the natural language request into data requests, configuring a flight plan and controlling one or more drones to fly over the spatial location to obtain data types based on the data requests, and extracting and analyzing data to answer the request. The method can include extracting data points from the data types, obtaining labels from a user for one or more of the data points, predicting labels for unlabeled data points from a learning algorithm using the labels obtained from the user, determining the predicted labels are true labels for the unlabeled data points and combining the extracted data, the user labeled data points and the true labeled data points to answer the request for information. The learning algorithm may be active learning using a support vector machine."
SYSTEM AND METHOD TO OPERATE A DRONE,https://lens.org/020-046-066-659-174,2017,"A method for controlling a drone includes receiving a natural language request for information about a spatial location, parsing the natural language request into data requests, configuring a flight plan and controlling one or more drones to fly over the spatial location to obtain data types based on the data requests, and extracting and analyzing data to answer the request. The method can include extracting data points from the data types, obtaining labels from a user for one or more of the data points, predicting labels for unlabeled data points from a learning algorithm using the labels obtained from the user, determining the predicted labels are true labels for the unlabeled data points and combining the extracted data, the user labeled data points and the true labeled data points to answer the request for information. The learning algorithm may be active learning using a support vector machine."
"APPLICATION, SMART DEVICE, DRONE, SERVER, SYSTEM METHOD, AND PROGRAM FOR AUTOMATICALLY CONTROL DRONE FLIGHT",https://lens.org/050-704-035-959-692,2019,"The present invention is to provide an application, a smart device, a drone, a server, a method, and a program for automatically control drone flight that improve safety and convenience. The application for automatically controlling drone flight that runs on a smart device 100 connected with a drone 200 drives a camera provided in the smart device 100, acquires an image taken by the camera, analyzes the acquired image, and controls the drone flight based on a result of the image analysis."
"DRONE SYSTEM, DRONE, MOVABLE BODY, DRONE SYSTEM CONTROL METHOD, AND DRONE SYSTEM CONTROL PROGRAM",https://lens.org/121-591-640-527-543,2022,"There is provided a drone system in which a drone and a movable body operate in coordination with each other, the movable body being capable of moving with the drone aboard and allowing the drone to make a takeoff and a landing, the movable body including: a takeoff-landing area on which the drone can be placed and that serves as a takeoff-landing point from and on which the drone takes off and lands; a movement control section capable of moving the movable body together with the drone aboard; and a movable body transmission section that sends information on the movable body, the drone including: a flight control section that causes the drone to fly; and a drone reception section that receives information on the movable body, wherein the drone sends, to the movable body, a position of a takeoff-landing point at a time when the drone takes off."
"Application, smart device, drone, server, system method, and program for automatically control drone flight",https://lens.org/016-168-420-107-104,2019,"The present invention is to provide an application, a smart device, a drone, a server, a method, and a program for automatically controlling drone flight that improves safety and convenience. The application for automatically controlling drone flight that runs on a smart device 100 connected with a drone 200 drives a camera provided in the smart device 100, acquires an image taken by the camera, analyzes the acquired image, and controls the drone flight based on a result of the image analysis."
"System and method for threat monitoring, detection, and response",https://lens.org/120-033-852-508-309,2020,"A drone receives an activation command indicating a user's need for monitoring, and is deployed based on the activation command and a set of initial operational parameters. The drone autonomously navigates to a first position with respect to the user and performs a first configured action. A plurality of monitoring data signals corresponding to the user and surrounding environment is captured using sensors on the drone, and is wirelessly transmitted by the drone to a remote monitoring system. The monitoring data signals are continuously analyzed to generate updated operational parameters causing the drone to autonomously navigate to a second position and perform a second configured action. A third configured action is received by the drone from the remote monitoring system, wherein the third configured action is generated based on a threat analysis performed by the remote monitoring system on the monitoring data signals."
"SYSTEM AND METHOD FOR THREAT MONITORING, DETECTION, AND RESPONSE",https://lens.org/034-554-448-783-997,2018,"A drone receives an activation command indicating a user's need for monitoring, and is deployed based on the activation command and a set of initial operational parameters. The drone autonomously navigates to a first position with respect to the user and performs a first configured action. A plurality of monitoring data signals corresponding to the user and surrounding environment is captured using sensors on the drone, and is wirelessly transmitted by the drone to a remote monitoring system. The monitoring data signals are continuously analyzed to generate updated operational parameters causing the drone to autonomously navigate to a second position and perform a second configured action. A third configured action is received by the drone from the remote monitoring system, wherein the third configured action is generated based on a threat analysis performed by the remote monitoring system on the monitoring data signals."
"DRONE SYSTEM, DRONE, STEERING DEVICE, DRONE SYSTEM CONTROL METHOD, AND DRONE SYSTEM CONTROL PROGRAM",https://lens.org/192-750-420-836-345,2021,"A highly safe drone is provided. A remote controller and a drone are connected to each other through a network and cooperate to operate. The drone includes a flight control unit, a flight start command reception unit receiving a flight start command from a user, a drone determination unit determining a configuration of the drone itself, an external environment determination unit determining an external environment of the drone. The drone system has a plurality of states including a takeoff diagnosis state and satisfies a condition transitioning to another state. The takeoff diagnosis state includes a drone determination state where the drone determination unit determines the configuration of the drone itself and an external environment determination state where the external environment determination unit determines the external environment. The drone system makes the drone to takeoff after transitioning to the takeoff diagnosis state upon receiving the flight start command."
DRONE FLIGHT CONTROL,https://lens.org/122-984-805-905-703,2017,A drone system and method. Audio signals are received via one or more microphones positioned relative to a location on a drone and one or more of the audio signals are identified as of interest. Flight characteristics of the drone are then controlled based on the audio signals that are of interest.
Drone flight control,https://lens.org/157-448-112-053-844,2019,A drone system and method. Audio signals are received via one or more microphones positioned relative to a location on a drone and one or more of the audio signals are identified as of interest. Flight characteristics of the drone are then controlled based on the audio signals that are of interest.
Autonomous Multifunctional Aerial Drone,https://lens.org/086-222-977-153-451,2022,"An apparatus and methods are provided for an unmanned aerial vehicle that uses artificial intelligence for performing desired tasks without operator intervention. The unmanned aerial vehicle comprises a multi-rotor UAV for aerial navigation and includes internal circuitry that supports an artificial intelligence for using collected data to autonomously perform multiple functions. Cameras, sensors, and speakers coupled with the multi-rotor UAV are configured to provide collected data to the artificial intelligence. The artificial intelligence uses the cameras and sensors to avoid colliding with objects in front of the UAV, route flight paths of the UAV to destination locations based on GPS and GLONASS technology, and change flight paths of the UAV in real-time based on detected obstacles. The artificial intelligence is configured to communicate with other UAVs so as to cooperate and coordinate tasks with the other UAVs."
"Drone control system, method, and program",https://lens.org/148-679-634-771-933,2020,"A drone control system in which a drone can move to a position where a purpose can be achieved and performs an action according to the purpose is provided. The drone control system 1 controls a drone 10 capable of performing a predetermined action on a predetermined object, and includes a state data acquiring module 201 that acquires state data indicating a state of the object, a purpose data acquiring module 202 that acquires purpose data which is a purpose of moving the drone, and a detecting module 203 that detects an action point, which is position information at which an action for the purpose is executed, based on the acquired state data and purpose data."
"DRONE CONTROL SYSTEM, METHOD, AND PROGRAM",https://lens.org/042-433-404-676-910,2019,"A drone control system in which a drone can move to a position where a purpose can be achieved and performs an action according to the purpose is provided. The drone control system 1 controls a drone 10 capable of performing a predetermined action on a predetermined object, and includes a state data acquiring module 201 that acquires state data indicating a state of the object, a purpose data acquiring module 202 that acquires purpose data which is a purpose of moving the drone, and a detecting module 203 that detects an action point, which is position information at which an action for the purpose is executed, based on the acquired state data and purpose data."
MULTIFUNCTION DISINFECTION DRONE APPARATUS AND METHOD,https://lens.org/196-075-301-170-164,2021,"An autonomous drone operated remotely via wireless networks is instructed by its owner flying about in an unoccupied room to activate a system of selectable air and surface disinfection modules. An air purifier captures particles in ambient air and switches on an oscillating motion tubular shaped cage mounted with a plurality of Ultraviolet C spectrum, long range zoom and focusable lens LED projectors to disinfect virus and bacteria. A fan assisted forced air Ozone generator module speeds up disinfecting inconspicuous spots to destroy hidden viruses. Disinfection is completed after the half-life time of dispensed Ozone and an oxygen recovery module rapidly converts residual ozone still in air back to normal oxygen molecules enabling a shortened waiting time for occupants to return to the treated room. A negative ions module subsequently switches on to refresh the air."
ROTORCRAFT LANDING DEVICE,https://lens.org/094-529-271-777-197,2018,"A drone loaded with a package takes off from a takeoff device and uses a GPS system to fly to a user house that is a delivery destination of the package as the destination. Further, when the drone approaches the user house that is the destination, the flight of the drones is switched from autonomous navigation using the GPS system to remote control performed by a landing device and an in-house control device installed in the user house. The drone lands on the landing device by remote control from the landing device and the in-house control device, separates the package, and then returns to the warehouse using the GPS system and lands on the takeoff device."
Rotorcraft landing device,https://lens.org/068-518-289-560-491,2020,"A drone loaded with a package takes off from a takeoff device and uses a GPS system to fly to a user house that is a delivery destination of the package as the destination. Further, when the drone approaches the user house that is the destination, the flight of the drones is switched from autonomous navigation using the GPS system to remote control performed by a landing device and an in-house control device installed in the user house. The drone lands on the landing device by remote control from the landing device and the in-house control device, separates the package, and then returns to the warehouse using the GPS system and lands on the takeoff device."
ROTORCRAFT LANDING DEVICE,https://lens.org/111-630-009-507-942,2021,"A drone loaded with a package takes off from a takeoff device and uses a GPS system to fly to a user house that is a delivery destination of the package as the destination. Further, when the drone approaches the user house that is the destination, the flight of the drones is switched from autonomous navigation using the GPS system to remote control performed by a landing device and an in-house control device installed in the user house. The drone lands on the landing device by remote control from the landing device and the in-house control device, separates the package, and then returns to the warehouse using the GPS system and lands on the takeoff device."
